,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Chance of Admit,Research_No,Research_Yes,Predict_Chance_of_Admit,Predict_Chance_of_Admit,Predict_Chance_of_Admit,Predict_Chance_of_Admit,Predict_Chance_of_Admit,Predict_Chance_of_Admit
0,310,105,2,3.0,3.5,8.01,0.71,1,0,0.71,0.71,71.0,0.71,0.71,0.71
1,307,105,2,2.5,4.5,8.12,0.67,0,1,0.67,0.67,67.0,0.67,0.67,0.67
2,329,111,4,4.5,4.0,9.01,0.81,0,1,0.81,0.81,81.0,0.81,0.81,0.81
3,300,105,1,1.0,2.0,7.8,0.58,1,0,0.58,0.58,57.99999999999999,0.58,0.58,0.58
4,329,114,5,4.0,5.0,9.3,0.86,0,1,0.86,0.86,86.0,0.86,0.86,0.86
5,300,104,3,3.5,3.0,8.16,0.71,1,0,0.71,0.71,71.0,0.71,0.71,0.71
6,318,103,3,4.0,4.5,8.49,0.71,0,1,0.71,0.71,71.0,0.71,0.71,0.71
7,322,110,4,4.0,5.0,9.13,0.86,0,1,0.86,0.86,86.0,0.86,0.86,0.86
8,315,105,2,2.0,2.5,7.65,0.39,1,0,0.39,0.39,39.0,0.39,0.39,0.39
9,332,119,4,5.0,4.5,9.24,0.9,0,1,0.9,0.9,90.0,0.9,0.9,0.9
10,336,118,5,4.5,5.0,9.53,0.94,0,1,0.94,0.94,94.0,0.94,0.94,0.94
11,322,105,2,3.0,3.0,8.45,0.65,0,1,0.65,0.65,65.0,0.65,0.65,0.65
12,327,113,4,4.5,5.0,9.14,0.83,1,0,0.83,0.83,83.0,0.83,0.83,0.83
13,327,106,4,4.0,4.5,8.75,0.76,0,1,0.76,0.76,76.0,0.76,0.76,0.76
14,314,107,2,2.5,4.0,8.56,0.63,1,0,0.63,0.63,63.0,0.63,0.63,0.63
15,331,112,5,4.0,5.0,9.8,0.94,0,1,0.94,0.94,94.0,0.94,0.94,0.94
16,338,115,5,4.5,5.0,9.23,0.91,0,1,0.91,0.91,91.0,0.91,0.91,0.91
17,308,109,2,3.0,4.0,8.45,0.71,1,0,0.71,0.71,71.0,0.71,0.71,0.71
18,298,100,3,2.5,4.0,7.95,0.58,0,1,0.58,0.58,57.99999999999999,0.58,0.58,0.58
19,325,108,4,4.5,4.0,9.06,0.79,0,1,0.79,0.79,79.0,0.79,0.79,0.79
20,307,109,3,4.0,3.0,8.0,0.62,0,1,0.62,0.62,62.0,0.62,0.62,0.62
21,327,115,4,3.5,4.0,9.14,0.79,1,0,0.79,0.79,79.0,0.79,0.79,0.79
22,295,99,2,2.5,3.0,7.65,0.57,1,0,0.57,0.57,56.99999999999999,0.57,0.57,0.57
23,316,109,3,3.5,3.0,8.76,0.77,1,0,0.77,0.77,77.0,0.77,0.77,0.77
24,313,106,2,2.5,2.0,8.43,0.62,1,0,0.62,0.62,62.0,0.62,0.62,0.62
25,322,115,5,4.0,4.5,9.36,0.92,0,1,0.92,0.92,92.0,0.92,0.92,0.92
26,312,105,2,2.5,3.0,8.12,0.64,1,0,0.64,0.64,64.0,0.64,0.64,0.64
27,298,97,2,2.0,3.0,7.21,0.45,1,0,0.45,0.45,45.0,0.45,0.45,0.45
28,310,110,1,1.5,4.0,7.23,0.58,0,1,0.58,0.58,57.99999999999999,0.58,0.58,0.58
29,338,118,4,3.0,4.5,9.4,0.91,0,1,0.91,0.91,91.0,0.91,0.91,0.91
30,305,104,2,2.5,1.5,7.79,0.53,1,0,0.53,0.53,53.0,0.53,0.53,0.53
31,312,107,2,2.5,3.5,8.27,0.69,1,0,0.69,0.69,69.0,0.69,0.69,0.69
32,317,106,2,2.0,3.5,8.12,0.73,1,0,0.73,0.73,73.0,0.73,0.73,0.73
33,338,120,4,5.0,5.0,9.66,0.95,0,1,0.95,0.95,95.0,0.95,0.95,0.95
34,319,108,2,2.5,3.0,8.76,0.66,1,0,0.66,0.66,66.0,0.66,0.66,0.66
35,323,110,5,4.0,5.0,8.98,0.87,0,1,0.87,0.87,87.0,0.87,0.87,0.87
36,327,116,4,4.0,4.5,9.48,0.9,0,1,0.9,0.9,90.0,0.9,0.9,0.9
37,311,106,2,3.5,3.0,8.26,0.79,0,1,0.79,0.79,79.0,0.79,0.79,0.79
38,304,107,3,3.5,3.0,7.86,0.57,1,0,0.57,0.57,56.99999999999999,0.57,0.57,0.57
39,340,120,5,4.5,4.5,9.91,0.97,0,1,0.97,0.97,97.0,0.97,0.97,0.97
40,311,104,2,2.5,3.5,8.48,0.71,1,0,0.71,0.71,71.0,0.71,0.71,0.71
41,301,104,3,3.5,4.0,8.12,0.68,0,1,0.68,0.68,68.0,0.68,0.68,0.68
42,314,107,3,3.0,3.5,8.17,0.73,0,1,0.73,0.73,73.0,0.73,0.73,0.73
43,320,113,2,2.0,2.5,8.64,0.81,0,1,0.81,0.81,81.0,0.81,0.81,0.81
44,325,106,3,3.5,4.0,8.4,0.52,0,1,0.52,0.52,52.0,0.52,0.52,0.52
45,310,106,2,3.5,2.5,8.33,0.73,1,0,0.73,0.73,73.0,0.73,0.73,0.73
46,295,96,2,1.5,2.0,7.34,0.47,1,0,0.47,0.47,47.0,0.47,0.47,0.47
47,303,99,3,2.0,2.5,7.66,0.36,1,0,0.36,0.36,36.0,0.36,0.36,0.36
48,323,110,4,4.0,5.0,8.88,0.81,0,1,0.81,0.81,81.0,0.81,0.81,0.81
49,300,98,1,2.0,2.5,8.02,0.61,1,0,0.61,0.61,61.0,0.61,0.61,0.61
50,317,105,3,3.5,3.0,8.56,0.68,1,0,0.68,0.68,68.0,0.68,0.68,0.68
51,324,111,5,4.5,4.0,9.16,0.9,0,1,0.9,0.9,90.0,0.9,0.9,0.9
52,334,117,5,4.0,4.5,9.07,0.89,0,1,0.89,0.89,89.0,0.89,0.89,0.89
53,312,109,2,2.5,4.0,9.02,0.8,1,0,0.8,0.8,80.0,0.8,0.8,0.8
54,329,110,2,4.0,3.0,9.15,0.84,0,1,0.84,0.84,84.0,0.84,0.84,0.84
55,304,105,2,3.0,3.0,8.2,0.54,0,1,0.54,0.54,54.0,0.54,0.54,0.54
56,320,104,3,3.5,4.5,8.34,0.74,0,1,0.74,0.74,74.0,0.74,0.74,0.74
57,325,112,2,3.0,3.5,8.96,0.8,0,1,0.8,0.8,80.0,0.8,0.8,0.8
58,312,105,2,1.5,3.0,8.46,0.66,1,0,0.66,0.66,66.0,0.66,0.66,0.66
59,305,108,5,3.0,3.0,8.48,0.61,1,0,0.61,0.61,61.0,0.61,0.61,0.61
60,302,99,1,2.0,2.0,7.25,0.57,1,0,0.57,0.57,56.99999999999999,0.57,0.57,0.57
61,324,115,3,3.5,3.0,8.76,0.7,0,1,0.7,0.7,70.0,0.7,0.7,0.7
62,312,105,3,2.0,3.0,8.02,0.5,0,1,0.5,0.5,50.0,0.5,0.5,0.5
63,308,103,2,2.5,4.0,8.36,0.7,0,1,0.7,0.7,70.0,0.7,0.7,0.7
64,314,108,4,4.5,4.0,9.04,0.84,0,1,0.84,0.84,84.0,0.84,0.84,0.84
65,327,109,3,3.5,4.0,8.77,0.79,0,1,0.79,0.79,79.0,0.79,0.79,0.79
66,326,113,5,4.5,4.0,9.4,0.91,0,1,0.91,0.91,91.0,0.91,0.91,0.91
67,319,112,3,2.5,2.0,8.71,0.78,0,1,0.78,0.78,78.0,0.78,0.78,0.78
68,331,115,5,4.5,3.5,9.36,0.93,0,1,0.93,0.93,93.0,0.93,0.93,0.93
69,316,107,2,3.5,3.5,8.64,0.57,0,1,0.57,0.57,56.99999999999999,0.57,0.57,0.57
70,326,108,3,3.0,3.5,8.89,0.8,1,0,0.8,0.8,80.0,0.8,0.8,0.8
71,316,100,2,1.5,3.0,8.16,0.71,0,1,0.71,0.71,71.0,0.71,0.71,0.71
72,307,101,3,4.0,3.0,8.2,0.47,1,0,0.47,0.47,47.0,0.47,0.47,0.47
73,297,99,4,3.0,3.5,7.81,0.54,1,0,0.54,0.54,54.0,0.54,0.54,0.54
74,325,110,2,3.0,2.5,8.76,0.75,0,1,0.75,0.75,75.0,0.75,0.75,0.75
75,339,119,5,4.5,4.0,9.7,0.89,1,0,0.89,0.89,89.0,0.89,0.89,0.89
76,311,101,3,2.0,2.5,7.64,0.62,0,1,0.62,0.62,62.0,0.62,0.62,0.62
77,317,106,1,1.5,3.5,7.65,0.61,0,1,0.61,0.61,61.0,0.61,0.61,0.61
78,328,110,4,4.0,2.5,9.02,0.81,0,1,0.81,0.81,81.0,0.81,0.81,0.81
79,325,111,4,4.0,4.5,9.11,0.83,0,1,0.83,0.83,83.0,0.83,0.83,0.83
80,316,106,2,2.5,4.0,8.32,0.72,1,0,0.72,0.72,72.0,0.72,0.72,0.72
81,331,116,5,5.0,5.0,9.38,0.93,0,1,0.93,0.93,93.0,0.93,0.93,0.93
82,329,113,4,4.0,3.5,9.36,0.89,0,1,0.89,0.89,89.0,0.89,0.89,0.89
83,319,102,3,2.5,2.5,8.37,0.68,1,0,0.68,0.68,68.0,0.68,0.68,0.68
84,311,98,1,1.0,2.5,7.46,0.57,1,0,0.57,0.57,56.99999999999999,0.57,0.57,0.57
85,314,103,2,2.0,3.0,8.21,0.65,1,0,0.65,0.65,65.0,0.65,0.65,0.65
86,307,105,2,2.0,3.5,8.1,0.53,1,0,0.53,0.53,53.0,0.53,0.53,0.53
87,324,113,5,4.0,5.0,9.25,0.92,0,1,0.92,0.92,92.0,0.92,0.92,0.92
88,327,111,4,4.0,4.5,9.0,0.84,0,1,0.84,0.84,84.0,0.84,0.84,0.84
